Date,temperature,ACPower,date,weekday,time
2019-03-08 10:30:00,21.381999999999998,10.09,2019-03-08,4,10:30:00
2019-03-08 10:35:00,20.887999999999998,10.01,2019-03-08,4,10:35:00
2019-03-08 10:40:00,20.741999999999997,9.89,2019-03-08,4,10:40:00
2019-03-08 10:45:00,20.906,10.23,2019-03-08,4,10:45:00
2019-03-08 10:50:00,20.906,10.31,2019-03-08,4,10:50:00
2019-03-08 10:55:00,20.898,1.0,2019-03-08,4,10:55:00
2019-03-08 11:00:00,21.168,10.49,2019-03-08,4,11:00:00
2019-03-08 11:05:00,21.302,12.6,2019-03-08,4,11:05:00
2019-03-08 11:10:00,21.14,10.02,2019-03-08,4,11:10:00
2019-03-08 11:15:00,21.092000000000002,10.02,2019-03-08,4,11:15:00
2019-03-08 11:20:00,21.05,6.84,2019-03-08,4,11:20:00
2019-03-08 11:25:00,21.224,10.34,2019-03-08,4,11:25:00
2019-03-08 11:30:00,21.286,10.15,2019-03-08,4,11:30:00
2019-03-08 11:35:00,20.842000000000002,4.35,2019-03-08,4,11:35:00
2019-03-08 11:40:00,20.863999999999997,1.02,2019-03-08,4,11:40:00
2019-03-08 11:45:00,21.394,10.33,2019-03-08,4,11:45:00
2019-03-08 11:50:00,21.758000000000003,0.0,2019-03-08,4,11:50:00
2019-03-08 11:55:00,22.368000000000002,0.0,2019-03-08,4,11:55:00
2019-03-08 12:00:00,22.624000000000002,0.0,2019-03-08,4,12:00:00
2019-03-08 12:05:00,23.0,0.0,2019-03-08,4,12:05:00
2019-03-08 12:10:00,23.314,0.0,2019-03-08,4,12:10:00
2019-03-08 12:15:00,23.380000000000003,0.0,2019-03-08,4,12:15:00
2019-03-08 12:20:00,23.576,0.0,2019-03-08,4,12:20:00
2019-03-08 12:25:00,23.724,0.0,2019-03-08,4,12:25:00
2019-03-08 12:30:00,23.824,0.0,2019-03-08,4,12:30:00
2019-03-08 12:35:00,23.924,0.0,2019-03-08,4,12:35:00
2019-03-08 12:40:00,24.380000000000003,0.0,2019-03-08,4,12:40:00
2019-03-08 12:45:00,24.144,0.0,2019-03-08,4,12:45:00
2019-03-08 12:50:00,24.228,0.0,2019-03-08,4,12:50:00
2019-03-08 12:55:00,24.318,0.0,2019-03-08,4,12:55:00
2019-03-08 13:00:00,24.312,1.03,2019-03-08,4,13:00:00
2019-03-08 13:05:00,24.062,10.87,2019-03-08,4,13:05:00
2019-03-08 13:10:00,23.554,19.81,2019-03-08,4,13:10:00
2019-03-08 13:15:00,22.846,19.82,2019-03-08,4,13:15:00
2019-03-08 13:20:00,22.076,10.32,2019-03-08,4,13:20:00
2019-03-08 13:25:00,21.384,10.24,2019-03-08,4,13:25:00
2019-03-08 13:30:00,21.014,10.36,2019-03-08,4,13:30:00
2019-03-08 13:35:00,20.724,10.46,2019-03-08,4,13:35:00
2019-03-08 13:40:00,20.604,5.37,2019-03-08,4,13:40:00
2019-03-08 13:45:00,20.706,1.0,2019-03-08,4,13:45:00
2019-03-08 13:50:00,20.948,10.3,2019-03-08,4,13:50:00
2019-03-08 13:55:00,20.946,10.4,2019-03-08,4,13:55:00
2019-03-08 14:00:00,20.802,10.3,2019-03-08,4,14:00:00
2019-03-08 14:05:00,20.65,10.35,2019-03-08,4,14:05:00
2019-03-08 14:10:00,20.6,10.15,2019-03-08,4,14:10:00
2019-03-08 14:15:00,20.526,10.31,2019-03-08,4,14:15:00
2019-03-08 14:20:00,20.503999999999998,10.5,2019-03-08,4,14:20:00
2019-03-08 14:25:00,20.644,10.54,2019-03-08,4,14:25:00
2019-03-08 14:30:00,20.652,10.42,2019-03-08,4,14:30:00
2019-03-08 14:35:00,20.657999999999998,1.02,2019-03-08,4,14:35:00
2019-03-08 14:40:00,20.78,10.53,2019-03-08,4,14:40:00
2019-03-08 14:45:00,20.946,15.67,2019-03-08,4,14:45:00
2019-03-08 14:50:00,20.898000000000003,10.34,2019-03-08,4,14:50:00
2019-03-08 14:55:00,20.75,10.2,2019-03-08,4,14:55:00
2019-03-08 15:00:00,20.669999999999998,7.12,2019-03-08,4,15:00:00
2019-03-08 15:05:00,20.842,10.56,2019-03-08,4,15:05:00
2019-03-08 15:10:00,20.834,10.42,2019-03-08,4,15:10:00
2019-03-08 15:15:00,20.744,10.25,2019-03-08,4,15:15:00
2019-03-08 15:20:00,20.782,1.01,2019-03-08,4,15:20:00
2019-03-08 15:25:00,21.214,19.69,2019-03-08,4,15:25:00
2019-03-08 15:30:00,21.114,17.08,2019-03-08,4,15:30:00
2019-03-08 15:35:00,20.834,10.16,2019-03-08,4,15:35:00
2019-03-08 15:40:00,20.616,10.28,2019-03-08,4,15:40:00
2019-03-08 15:45:00,20.48,10.05,2019-03-08,4,15:45:00
2019-03-08 15:50:00,20.574,10.5,2019-03-08,4,15:50:00
2019-03-08 15:55:00,20.592,10.27,2019-03-08,4,15:55:00
2019-03-08 16:00:00,20.474,5.27,2019-03-08,4,16:00:00
2019-03-08 16:05:00,20.544,3.54,2019-03-08,4,16:05:00
2019-03-08 16:10:00,20.856,19.67,2019-03-08,4,16:10:00
2019-03-08 16:15:00,20.686,10.16,2019-03-08,4,16:15:00
2019-03-08 16:20:00,20.456,10.23,2019-03-08,4,16:20:00
2019-03-08 16:25:00,20.418,10.19,2019-03-08,4,16:25:00
2019-03-08 16:30:00,20.326,10.02,2019-03-08,4,16:30:00
2019-03-08 16:35:00,20.990000000000002,0.0,2019-03-08,4,16:35:00
2019-03-08 16:40:00,21.759999999999998,0.0,2019-03-08,4,16:40:00
2019-03-08 16:45:00,22.304,0.0,2019-03-08,4,16:45:00
2019-03-08 16:50:00,22.738,0.0,2019-03-08,4,16:50:00
2019-03-08 16:55:00,23.198,0.0,2019-03-08,4,16:55:00
